"freq_bin","magnitude"
3.34156617754e-05,1216.02481441
3.37788754903e-05,1268.22019766
3.41420892053e-05,1233.69706675
3.45053029202e-05,925.912512481
3.48685166352e-05,1685.67338614
3.52317303501e-05,1276.99728522
3.55949440651e-05,1548.84982886
3.595815778e-05,553.8041348
3.6321371495e-05,1059.83906654
3.66845852099e-05,1018.10861952
3.70477989249e-05,642.68616977
3.74110126398e-05,519.713948277
3.77742263548e-05,1567.22193781
3.81374400697e-05,366.736017535
3.85006537847e-05,983.340889642
3.88638674996e-05,484.948574754
3.92270812146e-05,279.549645867
3.95902949295e-05,282.236177912
3.99535086445e-05,641.695458527
4.03167223594e-05,553.051534624
4.06799360744e-05,1059.07545313
4.10431497893e-05,694.110055845
4.14063635043e-05,1391.38237321
4.17695772192e-05,941.667271489
4.21327909342e-05,357.074467129
4.24960046491e-05,762.637775837
4.28592183641e-05,878.524489789
4.3222432079e-05,1323.78268603
4.3585645794e-05,1667.69035751
4.39488595089e-05,1096.71344252
4.43120732239e-05,227.242780246
4.46752869388e-05,457.535447008
4.50385006538e-05,801.301940197
4.54017143687e-05,1395.35100208
4.57649280837e-05,590.874962483
4.61281417986e-05,804.542062009
4.64913555136e-05,996.748916742
4.68545692285e-05,795.406494354
4.72177829435e-05,1225.01408019
4.75809966584e-05,1446.53095518
4.79442103734e-05,1052.68987644
4.83074240883e-05,697.106848062
4.86706378033e-05,1378.48441783
4.90338515182e-05,943.813283701
4.93970652332e-05,1098.96881361
4.97602789481e-05,1708.68770992
5.01234926631e-05,329.991018464
5.0486706378e-05,838.252349725
5.0849920093e-05,371.858124571
5.12131338079e-05,1062.3546773
5.15763475229e-05,1046.25530297
5.19395612378e-05,580.848658084
5.23027749528e-05,509.125128868
5.26659886677e-05,514.894855776
5.30292023827e-05,582.754409657
5.33924160976e-05,1066.8463578
5.37556298126e-05,47.3222879553
5.41188435275e-05,949.823306893
5.44820572425e-05,238.674747014
5.48452709574e-05,331.130178499
5.52084846724e-05,1009.21822714
5.55716983873e-05,703.753477268
5.59349121023e-05,800.768628138
5.62981258172e-05,556.291723824
5.66613395322e-05,315.166551319
5.70245532471e-05,499.421517079
5.73877669621e-05,276.501597305
5.7750980677e-05,441.828276383
5.8114194392e-05,375.873764395
5.84774081069e-05,967.019590669
5.88406218219e-05,713.267421217
5.92038355368e-05,545.111040267
5.95670492518e-05,508.152410861
5.99302629667e-05,1036.94769379
6.02934766817e-05,268.341753888
6.06566903966e-05,261.015640298
6.10199041116e-05,1244.95699651
6.13831178265e-05,630.919100148
6.17463315415e-05,972.295830193
6.21095452564e-05,416.133186051
6.24727589714e-05,1109.70180865
6.28359726863e-05,959.620319534
6.31991864013e-05,574.250179674
6.35624001162e-05,92.6847688155
